,Income,Kidhome,Teenhome,WineRank,FruitsRank,MeatRank,FishRank,SweetRank,GoldRank,NumDealsPurchases,WebRank,CatalogRank,StoreRank,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,cluster
0,58138.0,0,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,55,0
1,46344.0,1,1,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,1
2,71613.0,0,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,48,0
3,26646.0,1,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,4
4,58293.0,1,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,4
5,62513.0,0,1,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,46,3
6,55635.0,0,1,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,41,3
7,33454.0,1,0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,28,4
8,30351.0,1,0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,39,4
9,5648.0,1,1,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,4
10,7500.0,0,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,36,4
11,63033.0,0,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,54,0
12,59354.0,1,1,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,61,1
13,17323.0,0,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,25,4
14,82800.0,0,0,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,66,0
15,41850.0,1,1,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,32,1
16,37760.0,0,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,66,1
17,76995.0,0,1,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,64,3
18,33812.0,1,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,27,4
19,37040.0,0,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,30,4
20,2447.0,1,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,34,0
21,58607.0,0,1,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,63,3
22,65324.0,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,3
23,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,62,3
24,18589.0,0,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,44,4
25,53359.0,1,1,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,37,1
26,38360.0,1,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,24,4
27,84618.0,0,0,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,48,0
28,10979.0,0,0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,4
29,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,50,1
30,40548.0,0,1,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,42,1
31,46610.0,0,1,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,60,3
